,source,drugid,protid,label
94,bindingdb,DR000094,PR000063,1
95,bindingdb,DR000095,PR000064,1
96,bindingdb,DR000096,PR000027,1
97,bindingdb,DR000097,PR000065,1
98,bindingdb,DR000098,PR000013,1
99,bindingdb,DR000099,PR000066,1
100,bindingdb,DR000100,PR000052,1
101,bindingdb,DR000101,PR000018,1
102,bindingdb,DR000102,PR000000,1
103,bindingdb,DR000103,PR000018,1
104,bindingdb,DR000104,PR000028,1
105,bindingdb,DR000105,PR000029,1
106,bindingdb,DR000106,PR000007,1
107,bindingdb,DR000107,PR000048,1
108,bindingdb,DR000108,PR000067,1
109,bindingdb,DR000109,PR000062,1
110,bindingdb,DR000110,PR000068,1
111,bindingdb,DR000111,PR000069,1
112,bindingdb,DR000112,PR000005,1
113,bindingdb,DR000113,PR000025,1
114,bindingdb,DR000114,PR000070,1
115,bindingdb,DR000115,PR000071,1
116,bindingdb,DR000116,PR000013,1
117,bindingdb,DR000117,PR000072,1
118,bindingdb,DR000118,PR000044,1
119,bindingdb,DR000119,PR000007,1
120,bindingdb,DR000120,PR000019,1
121,bindingdb,DR000121,PR000073,1
122,bindingdb,DR000122,PR000074,1
123,bindingdb,DR000123,PR000075,1
124,bindingdb,DR000124,PR000076,1
125,bindingdb,DR000125,PR000062,1
126,bindingdb,DR000126,PR000062,1
127,bindingdb,DR000127,PR000077,1
128,bindingdb,DR000128,PR000028,1
129,bindingdb,DR000129,PR000078,1
130,bindingdb,DR000130,PR000004,1
131,bindingdb,DR000131,PR000038,1
132,bindingdb,DR000132,PR000010,1
133,bindingdb,DR000133,PR000019,1
134,bindingdb,DR000134,PR000079,1
135,bindingdb,DR000135,PR000080,1
136,bindingdb,DR000136,PR000081,1
137,bindingdb,DR000137,PR000082,1
138,bindingdb,DR000138,PR000061,1
139,bindingdb,DR000139,PR000083,1
140,bindingdb,DR000140,PR000018,1
141,bindingdb,DR000141,PR000049,1
142,bindingdb,DR000142,PR000027,1
143,bindingdb,DR000143,PR000000,1
144,bindingdb,DR000144,PR000084,1
145,bindingdb,DR000145,PR000057,1
146,bindingdb,DR000146,PR000062,1
147,bindingdb,DR000147,PR000042,1
148,bindingdb,DR000148,PR000085,1
149,bindingdb,DR000149,PR000013,1
150,bindingdb,DR000150,PR000086,1
151,bindingdb,DR000151,PR000037,1
152,bindingdb,DR000152,PR000034,1
153,bindingdb,DR000153,PR000021,1
154,bindingdb,DR000154,PR000021,1
155,bindingdb,DR000155,PR000010,1
156,bindingdb,DR000156,PR000032,1
157,bindingdb,DR000157,PR000000,1
158,bindingdb,DR000158,PR000043,1
159,bindingdb,DR000159,PR000034,1
160,bindingdb,DR000160,PR000034,1
161,bindingdb,DR000161,PR000010,1
162,bindingdb,DR000162,PR000042,1
163,bindingdb,DR000163,PR000087,1
164,bindingdb,DR000164,PR000047,1
165,bindingdb,DR000165,PR000007,1
166,bindingdb,DR000166,PR000009,1
167,bindingdb,DR000167,PR000031,1
168,bindingdb,DR000168,PR000086,1
169,bindingdb,DR000169,PR000088,1
170,bindingdb,DR000170,PR000025,1
171,bindingdb,DR000171,PR000021,1
172,bindingdb,DR000172,PR000089,1
173,bindingdb,DR000173,PR000032,1
174,bindingdb,DR000174,PR000057,1
175,bindingdb,DR000175,PR000028,1
176,bindingdb,DR000176,PR000003,1
177,bindingdb,DR000177,PR000090,1
178,bindingdb,DR000178,PR000047,1
179,bindingdb,DR000179,PR000047,1
180,bindingdb,DR000180,PR000052,1
181,bindingdb,DR000181,PR000091,1
182,bindingdb,DR000182,PR000092,1
183,bindingdb,DR000183,PR000093,1
184,bindingdb,DR000184,PR000003,1
185,bindingdb,DR000185,PR000047,1
186,bindingdb,DR000186,PR000094,1
187,bindingdb,DR000187,PR000011,1
188,bindingdb,DR000188,PR000076,1
189,bindingdb,DR000189,PR000021,1
190,bindingdb,DR000190,PR000039,1
191,bindingdb,DR000191,PR000062,1
192,bindingdb,DR000192,PR000013,1
193,bindingdb,DR000193,PR000013,1
194,bindingdb,DR000004,PR000017,1
195,bindingdb,DR000194,PR000039,1
196,bindingdb,DR000195,PR000095,1
197,bindingdb,DR000196,PR000096,1
198,bindingdb,DR000197,PR000097,1
199,bindingdb,DR000198,PR000048,1
200,bindingdb,DR000199,PR000098,1
201,bindingdb,DR000200,PR000099,1
202,bindingdb,DR000201,PR000100,1
203,bindingdb,DR000202,PR000086,1
204,bindingdb,DR000203,PR000101,1
205,bindingdb,DR000204,PR000102,1
206,bindingdb,DR000205,PR000062,1
207,bindingdb,DR000206,PR000029,1
208,bindingdb,DR000207,PR000018,1
209,bindingdb,DR000208,PR000103,1
210,bindingdb,DR000209,PR000104,1
211,bindingdb,DR000210,PR000057,1
212,bindingdb,DR000211,PR000105,1
213,bindingdb,DR000212,PR000009,1
214,bindingdb,DR000213,PR000106,1
215,bindingdb,DR000214,PR000107,1
216,bindingdb,DR000215,PR000013,1
217,bindingdb,DR000216,PR000033,1
218,bindingdb,DR000217,PR000026,1
219,bindingdb,DR000218,PR000053,1
220,bindingdb,DR000219,PR000007,1
221,bindingdb,DR000220,PR000034,1
222,bindingdb,DR000221,PR000027,1
223,bindingdb,DR000222,PR000105,1
224,bindingdb,DR000223,PR000026,1
225,bindingdb,DR000224,PR000108,1
226,bindingdb,DR000225,PR000008,1
227,bindingdb,DR000226,PR000109,1
228,bindingdb,DR000227,PR000010,1
229,bindingdb,DR000228,PR000097,1
230,bindingdb,DR000229,PR000097,1
231,bindingdb,DR000230,PR000052,1
232,bindingdb,DR000231,PR000010,1
233,bindingdb,DR000232,PR000110,1
234,bindingdb,DR000233,PR000057,1
235,bindingdb,DR000234,PR000090,1
236,bindingdb,DR000235,PR000019,1
237,bindingdb,DR000236,PR000106,1
238,bindingdb,DR000237,PR000108,1
239,bindingdb,DR000238,PR000111,1
240,bindingdb,DR000239,PR000011,1
241,bindingdb,DR000240,PR000013,1
242,bindingdb,DR000241,PR000007,1
243,bindingdb,DR000242,PR000105,1
244,bindingdb,DR000243,PR000047,1
245,bindingdb,DR000244,PR000112,1
246,bindingdb,DR000245,PR000039,1
247,bindingdb,DR000246,PR000113,1
248,bindingdb,DR000247,PR000069,1
249,bindingdb,DR000248,PR000052,1
250,bindingdb,DR000249,PR000098,1
251,bindingdb,DR000250,PR000114,1
252,bindingdb,DR000251,PR000009,1
253,bindingdb,DR000252,PR000019,1
254,bindingdb,DR000253,PR000034,1
255,bindingdb,DR000254,PR000010,1
256,bindingdb,DR000255,PR000012,1
257,bindingdb,DR000256,PR000034,1
258,bindingdb,DR000257,PR000092,1
259,bindingdb,DR000258,PR000025,1
260,bindingdb,DR000259,PR000065,1
261,bindingdb,DR000260,PR000064,1
262,bindingdb,DR000261,PR000010,1
263,bindingdb,DR000262,PR000090,1
264,bindingdb,DR000263,PR000065,1
265,bindingdb,DR000264,PR000065,1
266,bindingdb,DR000265,PR000115,1
267,bindingdb,DR000266,PR000019,1
268,bindingdb,DR000267,PR000031,1
269,bindingdb,DR000268,PR000070,1
270,bindingdb,DR000269,PR000040,1
271,bindingdb,DR000270,PR000010,1
272,bindingdb,DR000271,PR000026,1
273,bindingdb,DR000272,PR000000,1
274,bindingdb,DR000273,PR000096,1
275,bindingdb,DR000274,PR000021,1
276,bindingdb,DR000275,PR000116,1
277,bindingdb,DR000276,PR000072,1
278,bindingdb,DR000277,PR000072,1
279,bindingdb,DR000278,PR000026,1
280,bindingdb,DR000279,PR000052,1
281,bindingdb,DR000280,PR000092,1
282,bindingdb,DR000281,PR000028,1
283,bindingdb,DR000282,PR000117,1
284,bindingdb,DR000283,PR000045,1
285,bindingdb,DR000284,PR000114,1
286,bindingdb,DR000285,PR000099,1
287,bindingdb,DR000286,PR000003,1
288,bindingdb,DR000287,PR000007,1
289,bindingdb,DR000288,PR000113,1
290,bindingdb,DR000289,PR000049,1
291,bindingdb,DR000290,PR000000,1
292,bindingdb,DR000291,PR000045,1
293,bindingdb,DR000292,PR000025,1
294,bindingdb,DR000293,PR000118,1
295,bindingdb,DR000294,PR000052,1
296,bindingdb,DR000295,PR000119,1
297,bindingdb,DR000296,PR000081,1
298,bindingdb,DR000297,PR000070,1
299,bindingdb,DR000298,PR000056,1
300,bindingdb,DR000299,PR000003,1
301,bindingdb,DR000300,PR000054,1
302,bindingdb,DR000301,PR000018,1
303,bindingdb,DR000302,PR000120,1
304,bindingdb,DR000303,PR000025,1
305,bindingdb,DR000304,PR000081,1
306,bindingdb,DR000305,PR000051,1
307,bindingdb,DR000306,PR000103,1
308,bindingdb,DR000307,PR000008,1
309,bindingdb,DR000308,PR000034,1
310,bindingdb,DR000309,PR000121,1
311,bindingdb,DR000310,PR000065,1
312,bindingdb,DR000311,PR000122,1
313,bindingdb,DR000312,PR000026,1
314,bindingdb,DR000313,PR000032,1
315,bindingdb,DR000314,PR000112,1
316,bindingdb,DR000315,PR000062,1
317,bindingdb,DR000316,PR000072,1
318,bindingdb,DR000317,PR000062,1
319,bindingdb,DR000318,PR000081,1
320,bindingdb,DR000052,PR000003,1
321,bindingdb,DR000319,PR000016,1
322,bindingdb,DR000320,PR000019,1
323,bindingdb,DR000052,PR000013,1
324,bindingdb,DR000321,PR000123,1
325,bindingdb,DR000322,PR000013,1
326,bindingdb,DR000323,PR000074,1
327,bindingdb,DR000324,PR000010,1
328,bindingdb,DR000325,PR000014,1
329,bindingdb,DR000326,PR000066,1
330,bindingdb,DR000327,PR000016,1
331,bindingdb,DR000328,PR000010,1
332,bindingdb,DR000329,PR000039,1
333,bindingdb,DR000330,PR000047,1
334,bindingdb,DR000331,PR000096,1
335,bindingdb,DR000332,PR000086,1
336,bindingdb,DR000333,PR000037,1
337,bindingdb,DR000334,PR000029,1
338,bindingdb,DR000335,PR000048,1
339,bindingdb,DR000336,PR000121,1
340,bindingdb,DR000337,PR000093,1
341,bindingdb,DR000338,PR000111,1
342,bindingdb,DR000339,PR000010,1
343,bindingdb,DR000340,PR000005,1
344,bindingdb,DR000341,PR000070,1
345,bindingdb,DR000342,PR000121,1
346,bindingdb,DR000343,PR000031,1
347,bindingdb,DR000344,PR000052,1
348,bindingdb,DR000345,PR000034,1
349,bindingdb,DR000346,PR000008,1
350,bindingdb,DR000347,PR000010,1
351,bindingdb,DR000348,PR000056,1
352,bindingdb,DR000295,PR000124,1
353,bindingdb,DR000349,PR000039,1
354,bindingdb,DR000350,PR000000,1
355,bindingdb,DR000351,PR000061,1
356,bindingdb,DR000352,PR000034,1
357,bindingdb,DR000353,PR000040,1
358,bindingdb,DR000354,PR000111,1
359,bindingdb,DR000355,PR000062,1
360,bindingdb,DR000356,PR000065,1
361,bindingdb,DR000357,PR000125,1
362,bindingdb,DR000358,PR000023,1
363,bindingdb,DR000359,PR000047,1
364,bindingdb,DR000360,PR000010,1
365,bindingdb,DR000361,PR000112,1
366,bindingdb,DR000362,PR000014,1
367,bindingdb,DR000363,PR000062,1
368,bindingdb,DR000364,PR000003,1
369,bindingdb,DR000365,PR000118,1
370,bindingdb,DR000366,PR000011,1
371,bindingdb,DR000367,PR000003,1
372,bindingdb,DR000368,PR000126,1
373,bindingdb,DR000369,PR000082,1
374,bindingdb,DR000370,PR000051,1
375,bindingdb,DR000371,PR000127,1
376,bindingdb,DR000372,PR000111,1
377,bindingdb,DR000373,PR000087,1
378,bindingdb,DR000374,PR000048,1
379,bindingdb,DR000375,PR000052,1
380,bindingdb,DR000376,PR000128,1
381,bindingdb,DR000377,PR000010,1
382,bindingdb,DR000378,PR000062,1
383,bindingdb,DR000379,PR000091,1
384,bindingdb,DR000380,PR000039,1
385,bindingdb,DR000381,PR000043,1
386,bindingdb,DR000382,PR000062,1
387,bindingdb,DR000383,PR000112,1
388,bindingdb,DR000384,PR000032,1
389,bindingdb,DR000385,PR000015,1
390,bindingdb,DR000386,PR000129,1
391,bindingdb,DR000387,PR000043,1
392,bindingdb,DR000388,PR000028,1
393,bindingdb,DR000389,PR000000,1
394,bindingdb,DR000390,PR000007,1
395,bindingdb,DR000391,PR000065,1
396,bindingdb,DR000392,PR000117,1
397,bindingdb,DR000393,PR000130,1
398,bindingdb,DR000394,PR000081,1
399,bindingdb,DR000395,PR000010,1
400,bindingdb,DR000396,PR000011,1
401,bindingdb,DR000397,PR000010,1
402,bindingdb,DR000398,PR000065,1
403,bindingdb,DR000399,PR000131,1
404,bindingdb,DR000400,PR000010,1
405,bindingdb,DR000401,PR000132,1
406,bindingdb,DR000402,PR000035,1
407,bindingdb,DR000403,PR000010,1
408,bindingdb,DR000404,PR000081,1
409,bindingdb,DR000405,PR000107,1
410,bindingdb,DR000406,PR000043,1
411,bindingdb,DR000407,PR000109,1
412,bindingdb,DR000408,PR000015,1
413,bindingdb,DR000409,PR000000,1
414,bindingdb,DR000410,PR000010,1
415,bindingdb,DR000411,PR000133,1
416,bindingdb,DR000412,PR000011,1
417,bindingdb,DR000413,PR000011,1
418,bindingdb,DR000414,PR000055,1
419,bindingdb,DR000415,PR000134,1
420,bindingdb,DR000416,PR000061,1
421,bindingdb,DR000287,PR000105,1
422,bindingdb,DR000417,PR000089,1
423,bindingdb,DR000418,PR000039,1
424,bindingdb,DR000419,PR000062,1
425,bindingdb,DR000420,PR000097,1
426,bindingdb,DR000421,PR000047,1
427,bindingdb,DR000422,PR000097,1
428,bindingdb,DR000423,PR000070,1
429,bindingdb,DR000424,PR000081,1
430,bindingdb,DR000425,PR000047,1
431,bindingdb,DR000426,PR000030,1
432,bindingdb,DR000427,PR000070,1
433,bindingdb,DR000428,PR000000,1
434,bindingdb,DR000429,PR000040,1
435,bindingdb,DR000430,PR000097,1
436,bindingdb,DR000431,PR000135,1
437,bindingdb,DR000432,PR000002,1
438,bindingdb,DR000433,PR000025,1
439,bindingdb,DR000434,PR000066,1
440,bindingdb,DR000435,PR000088,1
441,bindingdb,DR000436,PR000040,1
442,bindingdb,DR000437,PR000136,1
443,bindingdb,DR000438,PR000034,1
444,bindingdb,DR000439,PR000096,1
445,bindingdb,DR000440,PR000062,1
446,bindingdb,DR000441,PR000097,1
447,bindingdb,DR000442,PR000003,1
448,bindingdb,DR000443,PR000137,1
449,bindingdb,DR000444,PR000138,1
450,bindingdb,DR000445,PR000065,1
451,bindingdb,DR000446,PR000040,1
452,bindingdb,DR000447,PR000139,1
453,bindingdb,DR000448,PR000032,1
454,bindingdb,DR000449,PR000140,1
455,bindingdb,DR000450,PR000141,1
456,bindingdb,DR000451,PR000010,1
457,bindingdb,DR000452,PR000142,1
458,bindingdb,DR000453,PR000007,1
459,bindingdb,DR000454,PR000009,1
460,bindingdb,DR000455,PR000013,1
461,bindingdb,DR000456,PR000005,1
462,bindingdb,DR000457,PR000047,1
463,bindingdb,DR000458,PR000093,1
464,bindingdb,DR000459,PR000000,1
465,bindingdb,DR000460,PR000134,1
466,bindingdb,DR000461,PR000006,1
467,bindingdb,DR000462,PR000008,1
468,bindingdb,DR000463,PR000043,1
469,bindingdb,DR000464,PR000099,1
470,bindingdb,DR000465,PR000007,1
471,bindingdb,DR000466,PR000021,1
472,bindingdb,DR000467,PR000020,1
473,bindingdb,DR000468,PR000138,1
474,bindingdb,DR000469,PR000019,1
475,bindingdb,DR000470,PR000143,1
476,bindingdb,DR000471,PR000000,1
477,bindingdb,DR000472,PR000048,1
478,bindingdb,DR000473,PR000030,1
479,bindingdb,DR000474,PR000012,1
480,bindingdb,DR000475,PR000040,1
481,bindingdb,DR000476,PR000075,1
482,bindingdb,DR000477,PR000007,1
483,bindingdb,DR000478,PR000144,1
484,bindingdb,DR000479,PR000005,1
485,bindingdb,DR000480,PR000010,1
486,bindingdb,DR000481,PR000111,1
487,bindingdb,DR000482,PR000062,1
488,bindingdb,DR000483,PR000032,1
489,bindingdb,DR000484,PR000026,1
490,bindingdb,DR000485,PR000016,1
491,bindingdb,DR000486,PR000145,1
492,bindingdb,DR000487,PR000097,1
493,bindingdb,DR000488,PR000019,1
494,bindingdb,DR000489,PR000146,1
495,bindingdb,DR000490,PR000039,1
496,bindingdb,DR000491,PR000013,1
497,bindingdb,DR000492,PR000147,1
498,bindingdb,DR000493,PR000015,1
499,bindingdb,DR000494,PR000148,1
500,bindingdb,DR000495,PR000018,1
501,bindingdb,DR000496,PR000061,1
502,bindingdb,DR000497,PR000018,1
503,bindingdb,DR000498,PR000093,1
504,bindingdb,DR000499,PR000149,1
505,bindingdb,DR000500,PR000029,1
506,bindingdb,DR000501,PR000081,1
507,bindingdb,DR000502,PR000008,1
508,bindingdb,DR000503,PR000012,1
509,bindingdb,DR000504,PR000013,1
510,bindingdb,DR000505,PR000150,1
511,bindingdb,DR000506,PR000151,1
512,bindingdb,DR000507,PR000152,1
513,bindingdb,DR000508,PR000003,1
514,bindingdb,DR000509,PR000003,1
515,bindingdb,DR000510,PR000010,1
516,bindingdb,DR000511,PR000096,1
517,bindingdb,DR000512,PR000062,1
518,bindingdb,DR000513,PR000153,1
519,bindingdb,DR000514,PR000028,1
520,bindingdb,DR000515,PR000098,1
521,bindingdb,DR000516,PR000038,1
522,bindingdb,DR000517,PR000093,1
523,bindingdb,DR000518,PR000154,1
524,bindingdb,DR000519,PR000096,1
525,bindingdb,DR000520,PR000086,1
526,bindingdb,DR000521,PR000118,1
527,bindingdb,DR000522,PR000019,1
528,bindingdb,DR000523,PR000019,1
529,bindingdb,DR000524,PR000088,1
530,bindingdb,DR000525,PR000015,1
531,bindingdb,DR000526,PR000040,1
532,bindingdb,DR000527,PR000155,1
533,bindingdb,DR000528,PR000000,1
534,bindingdb,DR000529,PR000018,1
535,bindingdb,DR000530,PR000028,1
536,bindingdb,DR000531,PR000147,1
537,bindingdb,DR000532,PR000113,1
538,bindingdb,DR000533,PR000007,1
539,bindingdb,DR000534,PR000147,1
540,bindingdb,DR000535,PR000039,1
541,bindingdb,DR000536,PR000011,1
542,bindingdb,DR000537,PR000095,1
543,bindingdb,DR000538,PR000112,1
544,bindingdb,DR000539,PR000056,1
545,bindingdb,DR000540,PR000019,1
546,bindingdb,DR000541,PR000062,1
547,bindingdb,DR000542,PR000156,1
548,bindingdb,DR000543,PR000112,1
549,bindingdb,DR000544,PR000043,1
550,bindingdb,DR000545,PR000048,1
551,bindingdb,DR000546,PR000101,1
552,bindingdb,DR000547,PR000015,1
553,bindingdb,DR000548,PR000019,1
554,bindingdb,DR000549,PR000047,1
555,bindingdb,DR000550,PR000157,1
556,bindingdb,DR000551,PR000158,1
557,bindingdb,DR000552,PR000010,1
558,bindingdb,DR000553,PR000052,1
559,bindingdb,DR000554,PR000042,1
560,bindingdb,DR000555,PR000019,1
561,bindingdb,DR000556,PR000089,1
562,bindingdb,DR000557,PR000052,1
563,bindingdb,DR000558,PR000044,1
564,bindingdb,DR000559,PR000070,1
565,bindingdb,DR000560,PR000123,1
566,bindingdb,DR000561,PR000007,1
567,bindingdb,DR000562,PR000093,1
568,bindingdb,DR000563,PR000052,1
569,bindingdb,DR000564,PR000112,1
570,bindingdb,DR000565,PR000066,1
571,bindingdb,DR000566,PR000117,1
572,bindingdb,DR000567,PR000026,1
573,bindingdb,DR000568,PR000019,1
574,bindingdb,DR000569,PR000051,1
575,bindingdb,DR000570,PR000039,1
576,bindingdb,DR000571,PR000005,1
577,bindingdb,DR000572,PR000019,1
578,bindingdb,DR000573,PR000122,1
579,bindingdb,DR000574,PR000008,1
580,bindingdb,DR000575,PR000109,1
581,bindingdb,DR000576,PR000032,1
582,bindingdb,DR000577,PR000032,1
583,bindingdb,DR000578,PR000159,1
584,bindingdb,DR000579,PR000126,1
585,bindingdb,DR000580,PR000040,1
586,bindingdb,DR000581,PR000160,1
587,bindingdb,DR000582,PR000099,1
588,bindingdb,DR000583,PR000117,1
589,bindingdb,DR000584,PR000161,1
590,bindingdb,DR000585,PR000162,1
591,bindingdb,DR000586,PR000085,1
592,bindingdb,DR000587,PR000018,1
593,bindingdb,DR000588,PR000081,1
594,bindingdb,DR000589,PR000163,1
595,bindingdb,DR000590,PR000062,1
596,bindingdb,DR000591,PR000052,1
597,bindingdb,DR000592,PR000106,1
598,bindingdb,DR000593,PR000051,1
599,bindingdb,DR000594,PR000010,1
600,bindingdb,DR000595,PR000001,1
601,bindingdb,DR000596,PR000003,1
602,bindingdb,DR000597,PR000010,1
603,bindingdb,DR000598,PR000069,1
604,bindingdb,DR000599,PR000062,1
605,bindingdb,DR000600,PR000066,1
606,bindingdb,DR000601,PR000039,1
607,bindingdb,DR000602,PR000089,1
608,bindingdb,DR000603,PR000062,1
609,bindingdb,DR000604,PR000019,1
610,bindingdb,DR000605,PR000010,1
611,bindingdb,DR000606,PR000047,1
612,bindingdb,DR000607,PR000007,1
613,bindingdb,DR000608,PR000027,1
614,bindingdb,DR000609,PR000127,1
615,bindingdb,DR000610,PR000013,1
616,bindingdb,DR000611,PR000030,1
617,bindingdb,DR000612,PR000119,1
618,bindingdb,DR000613,PR000000,1
619,bindingdb,DR000614,PR000025,1
620,bindingdb,DR000615,PR000013,1
621,bindingdb,DR000616,PR000164,1
622,bindingdb,DR000617,PR000034,1
623,bindingdb,DR000618,PR000064,1
624,bindingdb,DR000619,PR000081,1
625,bindingdb,DR000620,PR000065,1
626,bindingdb,DR000621,PR000016,1
627,bindingdb,DR000622,PR000033,1
628,bindingdb,DR000623,PR000019,1
629,bindingdb,DR000624,PR000106,1
630,bindingdb,DR000625,PR000011,1
631,bindingdb,DR000626,PR000165,1
632,bindingdb,DR000627,PR000048,1
633,bindingdb,DR000628,PR000011,1
634,bindingdb,DR000629,PR000015,1
635,bindingdb,DR000630,PR000051,1
636,bindingdb,DR000631,PR000013,1
637,bindingdb,DR000632,PR000002,1
638,bindingdb,DR000633,PR000029,1
639,bindingdb,DR000634,PR000165,1
640,bindingdb,DR000635,PR000047,1
641,bindingdb,DR000636,PR000066,1
642,bindingdb,DR000637,PR000009,1
643,bindingdb,DR000638,PR000010,1
644,bindingdb,DR000639,PR000134,1
645,bindingdb,DR000640,PR000040,1
646,bindingdb,DR000641,PR000007,1
647,bindingdb,DR000642,PR000019,1
648,bindingdb,DR000643,PR000010,1
649,bindingdb,DR000644,PR000010,1
650,bindingdb,DR000645,PR000166,1
651,bindingdb,DR000646,PR000021,1
652,bindingdb,DR000647,PR000066,1
653,bindingdb,DR000648,PR000044,1
654,bindingdb,DR000649,PR000115,1
655,bindingdb,DR000650,PR000167,1
656,bindingdb,DR000651,PR000044,1
657,bindingdb,DR000652,PR000020,1
658,bindingdb,DR000653,PR000019,1
659,bindingdb,DR000654,PR000098,1
660,bindingdb,DR000655,PR000010,1
661,bindingdb,DR000656,PR000168,1
662,bindingdb,DR000657,PR000112,1
663,bindingdb,DR000658,PR000040,1
664,bindingdb,DR000659,PR000049,1
665,bindingdb,DR000660,PR000003,1
666,bindingdb,DR000661,PR000103,1
667,bindingdb,DR000662,PR000008,1
668,bindingdb,DR000663,PR000019,1
669,bindingdb,DR000664,PR000169,1
670,bindingdb,DR000665,PR000014,1
671,bindingdb,DR000666,PR000030,1
672,bindingdb,DR000667,PR000134,1
673,bindingdb,DR000668,PR000000,1
674,bindingdb,DR000669,PR000021,1
675,bindingdb,DR000670,PR000122,1
676,bindingdb,DR000671,PR000007,1
677,bindingdb,DR000672,PR000047,1
678,bindingdb,DR000673,PR000048,1
679,bindingdb,DR000674,PR000001,1
680,bindingdb,DR000675,PR000010,1
681,bindingdb,DR000676,PR000009,1
682,bindingdb,DR000677,PR000090,1
683,bindingdb,DR000678,PR000025,1
684,bindingdb,DR000679,PR000170,1
685,bindingdb,DR000680,PR000057,1
686,bindingdb,DR000681,PR000025,1
687,bindingdb,DR000682,PR000000,1
688,bindingdb,DR000683,PR000079,1
689,bindingdb,DR000684,PR000031,1
690,bindingdb,DR000685,PR000009,1
691,bindingdb,DR000686,PR000086,1
692,bindingdb,DR000687,PR000000,1
693,bindingdb,DR000688,PR000107,1
694,bindingdb,DR000689,PR000171,1
695,bindingdb,DR000690,PR000029,1
696,bindingdb,DR000691,PR000021,1
697,bindingdb,DR000692,PR000043,1
